,population,state,county
3166,24443,Wisconsin,Waushara County
3167,171907,Wisconsin,Winnebago County
3168,72999,Wisconsin,Wood County
3169,578759,Wyoming,Wyoming
3170,38880,Wyoming,Albany County
3171,11790,Wyoming,Big Horn County
3172,46341,Wyoming,Campbell County
3173,14800,Wyoming,Carbon County
3174,13822,Wyoming,Converse County
3175,7584,Wyoming,Crook County
3176,39261,Wyoming,Fremont County
3177,13211,Wyoming,Goshen County
3178,4413,Wyoming,Hot Springs County
3179,8445,Wyoming,Johnson County
3180,99500,Wyoming,Laramie County
3181,19830,Wyoming,Lincoln County
3182,79858,Wyoming,Natrona County
3183,2356,Wyoming,Niobrara County
3184,29194,Wyoming,Park County
3185,8393,Wyoming,Platte County
3186,30485,Wyoming,Sheridan County
3187,9831,Wyoming,Sublette County
3188,42343,Wyoming,Sweetwater County
3189,23464,Wyoming,Teton County
3190,20226,Wyoming,Uinta County
3191,7805,Wyoming,Washakie County
3192,6927,Wyoming,Weston County
